2312, 629, 613, 618
2837, 628, 606, 614
3339, 628, 593, 593
3846, 628, 596, 596
4347, 628, 603, 606
4859, 626, 590, 596
5360, 627, 594, 604
5874, 628, 592, 596
6399, 628, 600, 602
6902, 627, 593, 589
7403, 628, 593, 613
7907, 627, 594, 590
8430, 627, 595, 595
8944, 628, 596, 600
9447, 626, 599, 616
9950, 628, 601, 610
10463, 627, 593, 596
10978, 628, 603, 607
11503, 625, 594, 596
12004, 628, 597, 609
12514, 627, 598, 606
13029, 627, 592, 597
13532, 627, 591, 602
14032, 627, 599, 604
14547, 628, 582, 594
15051, 628, 599, 607
15554, 628, 600, 602
16054, 627, 592, 598
16580, 627, 598, 604
17083, 627, 592, 593
17586, 627, 598, 604
18099, 627, 594, 597
18620, 627, 597, 601
19123, 627, 598, 604
19636, 627, 603, 608
20138, 627, 596, 595
20652, 628, 603, 605
21153, 628, 588, 586
21656, 627, 602, 604
22157, 628, 605, 608
22672, 627, 583, 589
23186, 627, 598, 599
23703, 628, 595, 600
24205, 627, 598, 611
24708, 627, 593, 598
25232, 627, 590, 590
25756, 628, 589, 590
26284, 627, 599, 594
26786, 627, 586, 604
27288, 627, 593, 589
27790, 627, 600, 606
28307, 627, 600, 612
28809, 627, 601, 612
29313, 628, 599, 601
29826, 627, 595, 586
30353, 628, 592, 581
30855, 627, 596, 608
31357, 625, 592, 594
31859, 627, 597, 602
32360, 627, 597, 619
32863, 627, 599, 602
33373, 627, 600, 599
33889, 627, 596, 598
34400, 627, 606, 611
34905, 627, 597, 601
35419, 627, 595, 592
35933, 627, 594, 613
36461, 627, 598, 610
36985, 628, 594, 597
37501, 627, 603, 609
38002, 627, 593, 600
38504, 627, 593, 595
39013, 627, 602, 617
39526, 627, 589, 593
40029, 627, 593, 594
40541, 627, 595, 599
41045, 627, 595, 599
41558, 627, 591, 588
42071, 627, 603, 614
42574, 627, 598, 609
43089, 627, 597, 612
43602, 628, 592, 594
44110, 627, 595, 599
44613, 627, 602, 617
45116, 627, 590, 591
45643, 625, 595, 604
46156, 627, 593, 594
46660, 627, 591, 595
47174, 627, 586, 595
47702, 627, 601, 627
48215, 627, 591, 602
48720, 627, 596, 601
49223, 627, 597, 587
49749, 626, 599, 621
50253, 627, 599, 603
50755, 627, 595, 583
51257, 627, 591, 588
51772, 627, 589, 605
52287, 627, 588, 587
52798, 626, 598, 585
53311, 627, 590, 589
53835, 626, 594, 589
54339, 627, 594, 604
54856, 627, 601, 610
55368, 627, 591, 590
55905, 627, 603, 622
56407, 626, 600, 605
56930, 627, 600, 598
57454, 627, 604, 609
57980, 627, 595, 606
58495, 627, 593, 592
59009, 627, 603, 604
59524, 627, 592, 589
60037, 627, 600, 593
60550, 627, 593, 589
61062, 626, 593, 592
61564, 627, 590, 586
62077, 626, 591, 605
62577, 626, 596, 598
63091, 627, 598, 612
63603, 627, 595, 598
64108, 627, 603, 603
64609, 627, 601, 611
65111, 628, 591, 602
65623, 627, 593, 596
66137, 627, 596, 613
66649, 627, 599, 593
67169, 627, 597, 596
67715, 627, 601, 613
68267, 627, 605, 604
68786, 627, 594, 607
69300, 627, 599, 606
69843, 626, 596, 595
70355, 627, 588, 593
70875, 626, 595, 593
71384, 627, 596, 607
71905, 627, 594, 601
72449, 627, 600, 603
72974, 627, 601, 605
73495, 626, 588, 596
74019, 627, 603, 610
74529, 626, 599, 601
75039, 627, 602, 606
75550, 626, 599, 593
76050, 626, 592, 594
76572, 627, 593, 597
77091, 626, 595, 597
77612, 627, 594, 596
78123, 626, 582, 583
78634, 625, 600, 611
79135, 625, 592, 601
79636, 625, 597, 607
80153, 625, 604, 610
80667, 625, 593, 602
81183, 625, 597, 612
81684, 625, 604, 616
82199, 625, 602, 612
82713, 625, 601, 609
83227, 626, 598, 608
83732, 626, 592, 598
84244, 625, 596, 592
84760, 625, 594, 583
85275, 625, 585, 598
85779, 626, 594, 600
86291, 627, 586, 594
86817, 627, 609, 605
87331, 626, 606, 613
87835, 626, 581, 591
88348, 627, 595, 595
88851, 626, 599, 595
89354, 627, 606, 616
89867, 627, 607, 610
90369, 626, 595, 605
90879, 626, 598, 604
91394, 626, 605, 606
91894, 626, 595, 600
92394, 626, 594, 593
92916, 627, 595, 604
93448, 625, 596, 591
93981, 627, 588, 602
94514, 626, 599, 595
95047, 627, 591, 594
95557, 627, 598, 602
96077, 625, 604, 607
96611, 627, 600, 614
97121, 627, 592, 599
97621, 626, 593, 598
98153, 626, 599, 610
98696, 627, 594, 593
99206, 626, 603, 616
99739, 626, 596, 597
100252, 626, 596, 587
100776, 627, 586, 597
101279, 626, 596, 611
101780, 626, 593, 597
102295, 627, 595, 597
102795, 626, 588, 595
103305, 626, 591, 589
103818, 626, 596, 595
104332, 625, 596, 607
104836, 626, 599, 623
105347, 626, 602, 606
105848, 627, 597, 604
106350, 626, 602, 622
106853, 626, 594, 601
107363, 627, 593, 607
107928, 626, 591, 595
108451, 626, 585, 585
108973, 626, 594, 591
109506, 626, 586, 595
110049, 626, 596, 602
110570, 626, 596, 601
111089, 626, 591, 591
111610, 626, 601, 613
112132, 626, 590, 588
112645, 626, 592, 590
113158, 626, 595, 589
113670, 626, 597, 605
114197, 625, 603, 616
114708, 626, 597, 598
115208, 626, 602, 603
115709, 626, 596, 594
116225, 626, 599, 600
116746, 625, 596, 590
117248, 627, 595, 583
117771, 627, 603, 625
118291, 624, 591, 599
118806, 626, 605, 612
119321, 625, 601, 603
119853, 626, 595, 607
